Date,Close
2020-03-02,54.02000045776367
2020-03-03,52.959999084472656
2020-03-04,54.630001068115234
2020-03-05,52.47999954223633
2020-03-06,51.27000045776367
2020-03-09,47.93000030517578
2020-03-10,49.709999084472656
2020-03-11,48.650001525878906
2020-03-12,42.38999938964844
2020-03-13,47.619998931884766
2020-03-16,44.220001220703125
2020-03-17,47.7599983215332
2020-03-18,45.70000076293945
2020-03-19,43.790000915527344
2020-03-20,43.33000183105469
2020-03-23,41.0
2020-03-24,43.540000915527344
2020-03-25,42.25
2020-03-26,45.400001525878906
2020-03-27,44.380001068115234
2020-03-30,48.439998626708984
2020-03-31,47.939998626708984
2020-04-01,47.709999084472656
2020-04-02,46.41999816894531
2020-04-03,46.61000061035156
2020-04-06,49.349998474121094
2020-04-07,47.880001068115234
2020-04-08,49.400001525878906
2020-04-09,50.43000030517578
2020-04-13,49.029998779296875
2020-04-14,50.689998626708984
2020-04-15,50.06999969482422
2020-04-16,50.060001373291016
2020-04-17,51.22999954223633
2020-04-20,50.7400016784668
2020-04-21,48.27000045776367
2020-04-22,49.040000915527344
2020-04-23,49.31999969482422
2020-04-24,50.31999969482422
2020-04-27,51.93000030517578
2020-04-28,51.45000076293945
2020-04-29,51.36000061035156
2020-04-30,49.47999954223633
2020-05-01,47.41999816894531
2020-05-04,47.02000045776367
2020-05-05,47.45000076293945
2020-05-06,47.400001525878906
2020-05-07,48.52000045776367
2020-05-08,49.880001068115234
2020-05-11,53.2400016784668
2020-05-12,50.099998474121094
2020-05-13,47.599998474121094
2020-05-14,47.29999923706055
2020-05-15,48.95000076293945
2020-05-18,52.209999084472656
2020-05-19,51.560001373291016
2020-05-20,52.95000076293945
2020-05-21,53.18000030517578
2020-05-22,53.59000015258789
2020-05-26,52.599998474121094
2020-05-27,53.75
2020-05-28,54.369998931884766
2020-05-29,54.689998626708984
2020-06-01,54.70000076293945
2020-06-02,55.77000045776367
2020-06-03,56.619998931884766
2020-06-04,56.4900016784668
2020-06-05,57.27000045776367
2020-06-08,59.310001373291016
2020-06-09,57.650001525878906
2020-06-10,55.470001220703125
2020-06-11,52.4900016784668
2020-06-12,52.88999938964844
2020-06-15,53.459999084472656
2020-06-16,54.5
2020-06-17,53.65999984741211
2020-06-18,53.11000061035156
2020-06-19,53.810001373291016
2020-06-22,53.81999969482422
2020-06-23,53.47999954223633
2020-06-24,52.0099983215332
2020-06-25,51.869998931884766
2020-06-26,50.54999923706055
2020-06-29,51.970001220703125
2020-06-30,52.189998626708984
2020-07-01,51.68000030517578
2020-07-02,51.79999923706055
2020-07-06,51.7400016784668
2020-07-07,50.220001220703125
2020-07-08,50.290000915527344
2020-07-09,48.880001068115234
2020-07-10,49.36000061035156
2020-07-13,49.869998931884766
2020-07-14,50.93000030517578
2020-07-15,52.09000015258789
2020-07-16,52.41999816894531
2020-07-17,53.130001068115234
2020-07-20,53.150001525878906
2020-07-21,55.9900016784668
2020-07-22,56.15999984741211
2020-07-23,56.54999923706055
2020-07-24,56.5
2020-07-27,57.47999954223633
2020-07-28,56.58000183105469
2020-07-29,57.70000076293945
2020-07-30,56.47999954223633
2020-07-31,54.619998931884766
2020-08-03,58.040000915527344
2020-08-04,57.83000183105469
2020-08-05,57.599998474121094
2020-08-06,53.11000061035156
2020-08-07,52.58000183105469
2020-08-10,53.060001373291016
2020-08-11,53.040000915527344
2020-08-12,53.81999969482422
2020-08-13,52.43000030517578
2020-08-14,53.68000030517578
2020-08-17,52.72999954223633
2020-08-18,52.04999923706055
2020-08-19,51.63999938964844
2020-08-20,50.15999984741211
2020-08-21,49.849998474121094
2020-08-24,49.79999923706055
2020-08-25,50.560001373291016
2020-08-26,50.95000076293945
2020-08-27,50.66999816894531
2020-08-28,50.5
2020-08-31,50.7599983215332
2020-09-01,49.34000015258789
2020-09-02,50.9900016784668
2020-09-03,50.02000045776367
2020-09-04,49.720001220703125
2020-09-08,49.27000045776367
2020-09-09,49.540000915527344
2020-09-10,48.540000915527344
2020-09-11,48.380001068115234
2020-09-14,47.04999923706055
2020-09-15,46.54999923706055
2020-09-16,47.209999084472656
2020-09-17,47.29999923706055
2020-09-18,47.68000030517578
2020-09-21,47.099998474121094
2020-09-22,47.08000183105469
2020-09-23,45.25
2020-09-24,45.810001373291016
2020-09-25,47.43000030517578
2020-09-28,47.54999923706055
2020-09-29,46.88999938964844
2020-09-30,46.95000076293945
2020-10-01,46.08000183105469
2020-10-02,46.29999923706055
2020-10-05,47.150001525878906
2020-10-06,46.470001220703125
2020-10-07,47.150001525878906
2020-10-08,48.68000030517578
2020-10-09,48.029998779296875
2020-10-12,48.31999969482422
2020-10-13,47.91999816894531
2020-10-14,48.369998931884766
2020-10-15,48.91999816894531
2020-10-16,48.790000915527344
2020-10-19,47.900001525878906
2020-10-20,47.709999084472656
2020-10-21,47.83000183105469
2020-10-22,48.77000045776367
2020-10-23,49.34000015258789
2020-10-26,48.029998779296875
2020-10-27,47.47999954223633
2020-10-28,45.959999084472656
2020-10-29,45.61000061035156
2020-10-30,45.790000915527344
2020-11-02,47.52000045776367
2020-11-03,48.790000915527344
2020-11-04,49.439998626708984
2020-11-05,53.060001373291016
2020-11-06,52.63999938964844
2020-11-09,55.40999984741211
2020-11-10,57.369998931884766
2020-11-11,56.22999954223633
2020-11-12,56.0
2020-11-13,57.43000030517578
2020-11-16,58.470001220703125
2020-11-17,54.68000030517578
2020-11-18,53.31999969482422
2020-11-19,52.290000915527344
2020-11-20,51.86000061035156
2020-11-23,52.290000915527344
2020-11-24,53.970001220703125
2020-11-25,53.77000045776367
2020-11-27,53.779998779296875
2020-11-30,54.59000015258789
2020-12-01,54.029998779296875
2020-12-02,55.650001525878906
2020-12-03,55.43000030517578
2020-12-04,56.9900016784668
2020-12-07,55.400001525878906
2020-12-08,56.470001220703125
2020-12-09,56.150001525878906
2020-12-10,55.45000076293945
2020-12-11,54.279998779296875
2020-12-14,53.54999923706055
2020-12-15,54.91999816894531
2020-12-16,54.2400016784668
2020-12-17,54.220001220703125
2020-12-18,54.959999084472656
2020-12-21,54.02000045776367
2020-12-22,53.630001068115234
2020-12-23,53.86000061035156
2020-12-24,53.79999923706055
2020-12-28,53.65999984741211
2020-12-29,53.5
2020-12-30,53.4900016784668
2020-12-31,53.560001373291016
2021-01-04,52.93000030517578
2021-01-05,53.119998931884766
2021-01-06,55.060001373291016
2021-01-07,56.310001373291016
2021-01-08,55.90999984741211
2021-01-11,55.7400016784668
2021-01-12,55.9900016784668
2021-01-13,55.400001525878906
2021-01-14,55.38999938964844
2021-01-15,55.439998626708984
2021-01-19,54.810001373291016
2021-01-20,54.59000015258789
2021-01-21,55.06999969482422
2021-01-22,55.38999938964844
2021-01-25,55.029998779296875
2021-01-26,55.47999954223633
2021-01-27,55.290000915527344
2021-01-28,55.56999969482422
2021-01-29,53.72999954223633
2021-02-01,54.47999954223633
2021-02-02,54.540000915527344
2021-02-03,54.400001525878906
2021-02-04,55.97999954223633
2021-02-05,54.2599983215332
2021-02-08,52.90999984741211
2021-02-09,52.95000076293945
2021-02-10,53.060001373291016
2021-02-11,52.40999984741211
2021-02-12,51.86000061035156
2021-02-16,51.75
2021-02-17,51.720001220703125
2021-02-18,51.369998931884766
