Date,Close
2020-08-28,330.8999938964844
2020-08-31,327.8399963378906
2020-09-01,329.9200134277344
2020-09-02,329.8800048828125
2020-09-03,309.67999267578125
2020-09-04,295.0
2020-09-08,293.1199951171875
2020-09-09,302.4200134277344
2020-09-10,300.17999267578125
2020-09-11,300.32000732421875
2020-09-14,308.3800048828125
2020-09-15,308.4800109863281
2020-09-16,300.2200012207031
2020-09-17,304.2900085449219
2020-09-18,301.260009765625
2020-09-21,300.489990234375
2020-09-22,307.8999938964844
2020-09-23,307.2799987792969
2020-09-24,310.1000061035156
2020-09-25,315.1000061035156
2020-09-28,325.20001220703125
2020-09-29,328.5400085449219
2020-09-30,334.5400085449219
2020-10-01,328.2799987792969
2020-10-02,322.7900085449219
2020-10-05,327.75
2020-10-06,328.010009765625
2020-10-07,331.6400146484375
2020-10-08,340.8500061035156
2020-10-09,346.54998779296875
2020-10-12,352.69000244140625
2020-10-13,351.989990234375
2020-10-14,360.30999755859375
2020-10-15,360.3800048828125
2020-10-16,359.44000244140625
2020-10-19,353.54998779296875
2020-10-20,355.6300048828125
2020-10-21,355.9700012207031
2020-10-22,350.260009765625
2020-10-23,361.7099914550781
2020-10-26,362.54998779296875
2020-10-27,366.989990234375
2020-10-28,362.8500061035156
2020-10-29,360.6400146484375
2020-10-30,349.8299865722656
2020-11-02,357.2900085449219
2020-11-03,364.17999267578125
2020-11-04,377.1700134277344
2020-11-05,383.9200134277344
2020-11-06,382.8900146484375
2020-11-09,322.29998779296875
2020-11-10,339.7099914550781
2020-11-11,346.07000732421875
2020-11-12,339.5299987792969
2020-11-13,340.6300048828125
2020-11-16,340.79998779296875
2020-11-17,329.45001220703125
2020-11-18,322.44000244140625
2020-11-19,338.6499938964844
2020-11-20,339.8699951171875
2020-11-23,334.1300048828125
2020-11-24,328.2799987792969
2020-11-25,333.5899963378906
2020-11-27,343.1199951171875
2020-11-30,346.1099853515625
2020-12-01,353.1000061035156
2020-12-02,339.1300048828125
2020-12-03,330.239990234375
2020-12-04,324.2699890136719
2020-12-07,332.5899963378906
2020-12-08,339.1199951171875
2020-12-09,334.8999938964844
2020-12-10,331.3999938964844
2020-12-11,337.7900085449219
2020-12-14,346.5799865722656
2020-12-15,348.7900085449219
2020-12-16,352.94000244140625
2020-12-17,356.1499938964844
2020-12-18,364.3699951171875
2020-12-21,362.010009765625
2020-12-22,369.7300109863281
2020-12-23,365.5199890136719
2020-12-24,364.7300109863281
2020-12-28,362.760009765625
2020-12-29,364.0400085449219
2020-12-30,367.2799987792969
2020-12-31,372.5
2021-01-04,356.8900146484375
2021-01-05,356.8699951171875
2021-01-06,370.3800048828125
2021-01-07,385.95001220703125
2021-01-08,390.989990234375
2021-01-11,385.25
2021-01-12,385.0
2021-01-13,373.7200012207031
2021-01-14,366.70001220703125
2021-01-15,359.3999938964844
2021-01-19,360.6300048828125
2021-01-20,366.239990234375
2021-01-21,366.7099914550781
2021-01-22,369.30999755859375
2021-01-25,368.94000244140625
2021-01-26,363.67999267578125
2021-01-27,354.6600036621094
2021-01-28,362.6600036621094
2021-01-29,354.17999267578125
2021-02-01,359.82000732421875
2021-02-02,357.29998779296875
2021-02-03,354.8500061035156
2021-02-04,358.989990234375
2021-02-05,359.32000732421875
2021-02-08,359.3999938964844
2021-02-09,360.2900085449219
2021-02-10,350.5400085449219
2021-02-11,329.8900146484375
2021-02-12,337.8399963378906
2021-02-16,333.3299865722656
2021-02-17,330.1700134277344
2021-02-18,330.42999267578125
2021-02-19,326.0799865722656
2021-02-22,314.42999267578125
2021-02-23,318.25
2021-02-24,328.3900146484375
2021-02-25,322.989990234375
2021-02-26,334.7699890136719
2021-03-01,334.20001220703125
2021-03-02,330.70001220703125
2021-03-03,331.1000061035156
2021-03-04,323.5899963378906
2021-03-05,330.2200012207031
2021-03-08,328.3399963378906
2021-03-09,336.510009765625
2021-03-10,343.20001220703125
2021-03-11,346.8399963378906
2021-03-12,342.44000244140625
2021-03-15,347.57000732421875
2021-03-16,343.9700012207031
2021-03-17,339.20001220703125
2021-03-18,336.8699951171875
2021-03-19,340.79998779296875
2021-03-22,336.2200012207031
2021-03-23,340.9100036621094
2021-03-24,340.1000061035156
2021-03-25,335.25
2021-03-26,341.8599853515625
2021-03-29,343.4800109863281
2021-03-30,342.3699951171875
2021-03-31,345.239990234375
2021-04-01,351.57000732421875
2021-04-05,357.0
2021-04-06,357.7200012207031
2021-04-07,356.6499938964844
2021-04-08,360.760009765625
2021-04-09,369.489990234375
2021-04-12,371.17999267578125
2021-04-13,370.45001220703125
2021-04-14,367.70001220703125
2021-04-15,374.42999267578125
2021-04-16,382.2099914550781
2021-04-19,382.95001220703125
2021-04-20,386.05999755859375
2021-04-21,385.6700134277344
2021-04-22,410.4599914550781
2021-04-23,419.5299987792969
2021-04-26,413.25
2021-04-27,421.69000244140625
2021-04-28,415.2900085449219
2021-04-29,421.45001220703125
2021-04-30,422.5199890136719
2021-05-03,428.8599853515625
2021-05-04,431.1499938964844
2021-05-05,441.55999755859375
2021-05-06,434.8500061035156
2021-05-07,444.010009765625
2021-05-10,444.9599914550781
2021-05-11,438.8699951171875
2021-05-12,419.760009765625
2021-05-13,435.010009765625
2021-05-14,437.8699951171875
2021-05-17,435.6700134277344
2021-05-18,427.1000061035156
2021-05-19,427.8299865722656
2021-05-20,429.7300109863281
2021-05-21,429.25
2021-05-24,430.739990234375
2021-05-25,429.6600036621094
2021-05-26,429.6300048828125
2021-05-27,431.4700012207031
2021-05-28,436.54998779296875
2021-06-01,438.7300109863281
2021-06-02,440.5799865722656
2021-06-03,438.3999938964844
2021-06-04,438.0400085449219
2021-06-07,435.54998779296875
2021-06-08,440.0
2021-06-09,433.6199951171875
2021-06-10,429.0
2021-06-11,431.6199951171875
2021-06-14,430.9599914550781
2021-06-15,434.4100036621094
2021-06-16,432.5199890136719
2021-06-17,436.5299987792969
2021-06-18,442.0199890136719
2021-06-21,452.8999938964844
2021-06-22,459.760009765625
2021-06-23,454.8999938964844
2021-06-24,459.0299987792969
2021-06-25,455.7699890136719
2021-06-28,456.5400085449219
2021-06-29,465.0400085449219
2021-06-30,458.6600036621094
2021-07-01,462.04998779296875
2021-07-02,466.8299865722656
2021-07-06,464.5299987792969
2021-07-07,470.32000732421875
2021-07-08,468.7699890136719
2021-07-09,476.239990234375
2021-07-12,475.510009765625
2021-07-13,470.8800048828125
2021-07-14,468.7699890136719
2021-07-15,459.82000732421875
2021-07-16,458.8900146484375
2021-07-19,453.5199890136719
2021-07-20,452.510009765625
2021-07-21,457.69000244140625
2021-07-22,450.5199890136719
2021-07-23,462.3699951171875
2021-07-26,466.9599914550781
2021-07-27,471.8699951171875
2021-07-28,467.6300048828125
2021-07-29,477.79998779296875
2021-07-30,477.82000732421875
2021-08-02,476.510009765625
2021-08-03,480.44000244140625
2021-08-04,486.9700012207031
2021-08-05,486.80999755859375
2021-08-06,481.0899963378906
2021-08-09,485.3999938964844
2021-08-10,484.17999267578125
2021-08-11,483.1700134277344
2021-08-12,484.7300109863281
2021-08-13,485.2099914550781
2021-08-16,493.3999938964844
2021-08-17,479.989990234375
2021-08-18,476.6400146484375
2021-08-19,484.3699951171875
2021-08-20,486.42999267578125
2021-08-23,474.8999938964844
2021-08-24,477.5899963378906
2021-08-25,485.0199890136719
2021-08-26,477.4700012207031
2021-08-27,480.9100036621094
2021-08-30,491.42999267578125
2021-08-31,494.29998779296875
2021-09-01,491.2300109863281
2021-09-02,497.260009765625
2021-09-03,496.8900146484375
2021-09-07,491.04998779296875
2021-09-08,497.3900146484375
2021-09-09,491.6400146484375
2021-09-10,493.42999267578125
2021-09-13,478.9200134277344
2021-09-14,474.67999267578125
2021-09-15,477.1499938964844
2021-09-16,470.69000244140625
2021-09-17,464.0400085449219
2021-09-20,462.5199890136719
2021-09-21,459.7300109863281
2021-09-22,456.0
2021-09-23,466.3699951171875
2021-09-24,465.489990234375
2021-09-27,455.760009765625
2021-09-28,444.0799865722656
2021-09-29,446.8299865722656
2021-09-30,434.4100036621094
2021-10-01,437.3999938964844
2021-10-04,435.9200134277344
2021-10-05,440.4100036621094
2021-10-06,440.95001220703125
2021-10-07,452.5400085449219
2021-10-08,446.5299987792969
2021-10-11,445.5199890136719
2021-10-12,440.8599853515625
2021-10-13,440.3699951171875
2021-10-14,452.8699951171875
2021-10-15,453.2200012207031
2021-10-18,460.4599914550781
2021-10-19,464.510009765625
2021-10-20,463.8399963378906
2021-10-21,499.3299865722656
2021-10-22,503.0799865722656
2021-10-25,508.6199951171875
2021-10-26,503.6199951171875
2021-10-27,499.7799987792969
2021-10-28,506.6400146484375
2021-10-29,515.1599731445312
