Date,Close
2020-03-02,32.83000183105469
2020-03-03,33.22999954223633
2020-03-04,34.56999969482422
2020-03-05,34.619998931884766
2020-03-06,33.720001220703125
2020-03-09,31.239999771118164
2020-03-10,32.099998474121094
2020-03-11,29.040000915527344
2020-03-12,25.1200008392334
2020-03-13,28.860000610351562
2020-03-16,22.270000457763672
2020-03-17,23.31999969482422
2020-03-18,20.850000381469727
2020-03-19,20.079999923706055
2020-03-20,20.959999084472656
2020-03-23,19.950000762939453
2020-03-24,21.15999984741211
2020-03-25,21.899999618530273
2020-03-26,24.31999969482422
2020-03-27,25.030000686645508
2020-03-30,24.350000381469727
2020-03-31,23.850000381469727
2020-04-01,21.290000915527344
2020-04-02,20.40999984741211
2020-04-03,20.290000915527344
2020-04-06,23.1200008392334
2020-04-07,23.899999618530273
2020-04-08,26.68000030517578
2020-04-09,28.350000381469727
2020-04-13,26.850000381469727
2020-04-14,27.34000015258789
2020-04-15,25.5
2020-04-16,24.739999771118164
2020-04-17,26.260000228881836
2020-04-20,25.389999389648438
2020-04-21,24.489999771118164
2020-04-22,24.8799991607666
2020-04-23,24.31999969482422
2020-04-24,24.229999542236328
2020-04-27,25.31999969482422
2020-04-28,26.510000228881836
2020-04-29,27.309999465942383
2020-04-30,26.139999389648438
2020-05-01,25.149999618530273
2020-05-04,25.1299991607666
2020-05-05,25.200000762939453
2020-05-06,24.030000686645508
2020-05-07,23.450000762939453
2020-05-08,24.25
2020-05-11,23.739999771118164
2020-05-12,21.940000534057617
2020-05-13,21.549999237060547
2020-05-14,22.229999542236328
2020-05-15,21.940000534057617
2020-05-18,24.059999465942383
2020-05-19,24.06999969482422
2020-05-20,23.940000534057617
2020-05-21,24.219999313354492
2020-05-22,24.549999237060547
2020-05-26,25.540000915527344
2020-05-27,25.729999542236328
2020-05-28,25.59000015258789
2020-05-29,24.639999389648438
2020-06-01,25.520000457763672
2020-06-02,26.079999923706055
2020-06-03,27.600000381469727
2020-06-04,27.780000686645508
2020-06-05,29.350000381469727
2020-06-08,29.81999969482422
2020-06-09,29.260000228881836
2020-06-10,28.15999984741211
2020-06-11,26.239999771118164
2020-06-12,27.479999542236328
2020-06-15,28.15999984741211
2020-06-16,28.549999237060547
2020-06-17,27.969999313354492
2020-06-18,28.0
2020-06-19,26.31999969482422
2020-06-22,26.8700008392334
2020-06-23,26.969999313354492
2020-06-24,25.989999771118164
2020-06-25,26.59000015258789
2020-06-26,26.489999771118164
2020-06-29,27.18000030517578
2020-06-30,27.559999465942383
2020-07-01,28.81999969482422
2020-07-02,28.469999313354492
2020-07-06,27.690000534057617
2020-07-07,27.049999237060547
2020-07-08,26.850000381469727
2020-07-09,26.860000610351562
2020-07-10,26.65999984741211
2020-07-13,26.329999923706055
2020-07-14,26.18000030517578
2020-07-15,26.850000381469727
2020-07-16,26.239999771118164
2020-07-17,27.110000610351562
2020-07-20,25.690000534057617
2020-07-21,25.8700008392334
2020-07-22,26.809999465942383
2020-07-23,26.579999923706055
2020-07-24,26.239999771118164
2020-07-27,26.459999084472656
2020-07-28,27.329999923706055
2020-07-29,27.899999618530273
2020-07-30,27.780000686645508
2020-07-31,27.290000915527344
2020-08-03,26.889999389648438
2020-08-04,27.309999465942383
2020-08-05,27.18000030517578
2020-08-06,28.049999237060547
2020-08-07,28.610000610351562
2020-08-10,29.030000686645508
2020-08-11,28.219999313354492
2020-08-12,28.639999389648438
2020-08-13,27.43000030517578
2020-08-14,27.010000228881836
2020-08-17,27.5
2020-08-18,27.68000030517578
2020-08-19,26.989999771118164
2020-08-20,27.40999984741211
2020-08-21,27.450000762939453
2020-08-24,27.940000534057617
2020-08-25,27.719999313354492
2020-08-26,27.299999237060547
2020-08-27,28.049999237060547
2020-08-28,28.459999084472656
2020-08-31,27.639999389648438
2020-09-01,27.459999084472656
2020-09-02,28.559999465942383
2020-09-03,28.40999984741211
2020-09-04,28.350000381469727
2020-09-08,27.75
2020-09-09,28.100000381469727
2020-09-10,27.93000030517578
2020-09-11,27.889999389648438
2020-09-14,28.760000228881836
2020-09-15,28.790000915527344
2020-09-16,28.68000030517578
2020-09-17,28.100000381469727
2020-09-18,26.600000381469727
2020-09-21,26.290000915527344
2020-09-22,26.600000381469727
2020-09-23,25.579999923706055
2020-09-24,25.979999542236328
2020-09-25,26.729999542236328
2020-09-28,27.329999923706055
2020-09-29,27.049999237060547
2020-09-30,27.149999618530273
2020-10-01,28.040000915527344
2020-10-02,28.5
2020-10-05,28.280000686645508
2020-10-06,28.25
2020-10-07,28.34000015258789
2020-10-08,29.040000915527344
2020-10-09,28.6299991607666
2020-10-12,28.510000228881836
2020-10-13,27.8700008392334
2020-10-14,27.510000228881836
2020-10-15,27.6200008392334
2020-10-16,27.030000686645508
2020-10-19,26.540000915527344
2020-10-20,27.09000015258789
